strike,right,expiry,bid,ask,delta,gamma,theta,vega,open_interest,volume
481.3,CALL,2024-03-18,22.17,24.50,0.950,0.049,-0.233,2.33,5025,1507
481.3,PUT,2024-03-18,10.63,11.75,-0.455,0.034,-0.112,1.12,5272,1581
486.3,CALL,2024-03-18,22.17,24.50,0.950,0.049,-0.233,2.33,5025,1507
486.3,PUT,2024-03-18,10.57,11.68,-0.453,0.034,-0.111,1.11,5273,1581
488.8,CALL,2024-03-18,22.17,24.50,0.950,0.049,-0.233,2.33,5025,1507
488.8,PUT,2024-03-18,10.53,11.64,-0.451,0.034,-0.111,1.11,5274,1582
491.3,CALL,2024-03-18,21.00,23.21,0.900,0.047,-0.221,2.21,5050,1515
491.3,PUT,2024-03-18,9.33,10.32,-0.400,0.032,-0.098,0.98,5300,1590
493.8,CALL,2024-03-18,14.67,16.21,0.629,0.039,-0.154,1.54,5185,1555
493.8,PUT,2024-03-18,9.29,10.27,-0.398,0.032,-0.098,0.98,5301,1590
496.3,CALL,2024-03-18,14.64,16.18,0.627,0.039,-0.154,1.54,5186,1555
496.3,PUT,2024-03-18,9.24,10.21,-0.396,0.032,-0.097,0.97,5302,1590
501.3,CALL,2024-03-18,14.57,16.11,0.624,0.039,-0.153,1.53,5187,1556
501.3,PUT,2024-03-18,9.15,10.11,-0.392,0.032,-0.096,0.96,5303,1590
