timestamp,open,high,low,close,volume
2024-01-02,474.50,476.20,472.80,475.10,82000000
2024-01-03,475.20,477.50,473.90,476.80,78500000
2024-01-04,476.90,478.20,474.50,475.60,79200000
2024-01-05,475.70,479.80,475.20,479.30,88500000
2024-01-08,479.50,481.00,478.20,480.20,75600000
2024-01-09,480.30,482.50,479.70,481.80,72400000
2024-01-10,481.90,483.20,480.50,482.10,69800000
2024-01-11,482.20,484.80,481.50,484.20,74500000
2024-01-12,484.30,485.60,483.10,483.80,71200000
2024-01-16,484.00,488.50,483.50,487.90,82000000
2024-01-17,488.00,489.20,486.30,487.50,76800000
2024-01-18,487.60,492.00,487.10,491.30,85500000
2024-01-19,491.40,493.80,490.20,493.00,89200000
2024-01-22,493.20,495.50,492.70,494.80,74500000
2024-01-23,494.90,496.20,493.50,495.10,71200000
2024-01-24,495.20,497.80,494.30,497.20,78900000
2024-01-25,497.30,499.50,496.80,498.90,82300000
2024-01-26,499.00,500.20,497.50,499.80,76800000
2024-01-29,499.80,501.50,498.20,500.50,73500000
2024-01-30,500.60,502.80,499.70,502.10,79200000
2024-01-31,502.20,503.50,500.80,501.90,84500000
2024-02-01,502.00,506.50,501.50,505.80,91800000
2024-02-02,505.90,508.20,505.10,507.60,87600000
2024-02-05,507.70,509.80,506.90,509.20,82300000
2024-02-06,509.30,511.00,508.40,510.50,78900000
2024-02-07,510.60,512.30,509.70,511.80,74500000
2024-02-08,511.90,513.50,511.20,512.90,76800000
2024-02-09,513.00,514.80,512.40,514.20,79200000
2024-02-12,514.30,516.50,513.80,515.90,82500000
2024-02-13,516.00,517.80,515.20,517.10,77800000
